title,url
A16Z-Backed Toka Wants To Help Us Agencies Hack Into Security Cameras And Other Iot Devices,https://techcrunch.com/2024/12/06/a16z-backed-toka-wants-to-help-us-agencies-hack-into-security-cameras-and-other-iot-devices/
Riot Secure,https://techcrunch.com/startup-battlefield/company/riot-secure/
Exein Raised $15M Series B To Stop Robotic Arms Going Haywire,https://techcrunch.com/2024/07/11/exein-raised-15m-series-b-to-stop-robotic-arms-going-haywire/
Powerstove Energy,https://techcrunch.com/startup-battlefield/company/powerstove-energy/
Touch Sensity,https://techcrunch.com/startup-battlefield/company/touch-sensity/
2024 Startup Battlefield Top 20 Finalists: Forestguard,https://techcrunch.com/video/2024-startup-battlefield-top-20-finalists-forestguard/
Jio Partners With Taiwan’S Mediatek To Tap Into Two-Wheeler Ev Market,https://techcrunch.com/2024/07/25/jio-partners-with-taiwans-mediatek-to-tap-into-two-wheeler-ev-market/
Boole,https://techcrunch.com/startup-battlefield/company/boole/
"Wirepas Nabs $22M To Expand Iot Business Based On Distributed, Mesh Technology",https://techcrunch.com/2023/10/31/wirepas-nabs-22m-to-expand-a-iot-business-based-on-distributed-mesh-technology/
Honey Flow Africa,https://techcrunch.com/startup-battlefield/company/honey-flow-africa/
Amit Serper Locks Up Iot Security Flaws At Techcrunch Disrupt 2023,https://techcrunch.com/2023/07/13/amit-serper-locks-up-iot-security-flaws-at-techcrunch-disrupt-2023/
Calliope Waterworks (Buoy Labs),https://techcrunch.com/startup-battlefield/company/calliope-waterworks-buoy-labs/
Flolive Connects With $47M To Give Its Iot And Localized Cellular Technology A Boost,https://techcrunch.com/2023/09/12/flolive-series-c/
The ‘Us Cyber Trust Mark’ Finally Gives Device Makers A Reason To Spend Big On Security,https://techcrunch.com/2023/08/23/the-us-cyber-trust-mark-finally-gives-device-makers-a-reason-to-spend-big-on-security/
Samsung’S Smartthings App Gets More Home Automation Capabilities,https://techcrunch.com/2025/04/09/samsung-smartthings-apps-gets-better-routines-and-intercom-feature-with-the-new-update/
Hugging Face Releases A 3D-Printed Robotic Arm Starting At $100,https://techcrunch.com/2025/04/28/hugging-face-releases-a-3d-printed-robotic-arm-starting-at-100/
Hubble Network Makes Bluetooth Connection With A Satellite For The First Time,https://techcrunch.com/2024/05/02/hubble-network-connects-a-bluetooth-chip-to-a-satellite-for-the-first-time/
Xage Security Raises $20M More To Expand Its Security Platform,https://techcrunch.com/2023/11/02/xage-security-raises-20m-more-to-expand-its-security-platform/
Haltian Nabs Funds To Equip Office Buildings With Smart Sensors,https://techcrunch.com/2023/04/24/haltian-nabs-funds-to-equip-office-buildings-with-smart-sensors/
Ditto Lands $82M To Synchronize Data From The Edge To The Cloud,https://techcrunch.com/2025/03/12/ditto-lands-82m-to-synchronize-data-from-the-edge-to-the-cloud/
Augmental,https://techcrunch.com/startup-battlefield/company/augmental/
Announcing The Startup Battlefield 200 At Techcrunch Disrupt 2024,https://techcrunch.com/2024/10/04/announcing-the-startup-battlefield-200-at-techcrunch-disrupt-2024/
"Amazon Opens Its Low-Bandwidth, Long-Range Sidewalk Network To Developers",https://techcrunch.com/2023/03/28/amazon-opens-its-low-bandwidth-long-range-sidewalk-network-to-developers/
Spacex’S Swarm Technologies Is Halting New Device Sales,https://techcrunch.com/2023/07/20/spacexs-swarm-technologies-is-halting-new-device-sales/
Mira Is Helping Fill The Hormone Knowledge Gap For Women And The Medical Industry,https://techcrunch.com/podcast/mira-is-helping-fill-the-hormone-knowledge-gap-for-women-and-the-medical-industry/
Startup Battlefield 200: Celebrating Outstanding Achievements,https://techcrunch.com/2024/11/07/startup-battlefield-200-celebrating-outstanding-achievements/
Nato Backs Its First Cohort Of European Dual-Use Startups,https://techcrunch.com/2025/02/14/nato-backs-its-first-cohort-of-european-dual-use-startups/
"Us Government Launches The Cyber Trust Mark, Its Long-Awaited Iot Security Labeling Program",https://techcrunch.com/2023/07/18/us-government-launches-the-cyber-trust-mark-its-long-awaited-iot-security-labeling-program/
Kibsi Raises $9.3M For Its No-Code Computer Vision Platform,https://techcrunch.com/2023/06/22/kibsi-raises-9-3m-for-its-no-code-computer-vision-platform/
Confluent Acquires Streaming Data Startup Warpstream,https://techcrunch.com/2024/09/09/confluent-acquires-streaming-data-startup-warpstream/
Ios 26 Beta 3 Dials Back Liquid Glass,https://techcrunch.com/2025/07/07/ios-26-beta-3-dials-back-liquid-glass/
‘Improved’ Grok Criticizes Democrats And Hollywood’S ‘Jewish Executives’,https://techcrunch.com/2025/07/06/improved-grok-criticizes-democrats-and-hollywoods-jewish-executives/
"Slate Auto Drops ‘Under $20,000’ Pricing After Trump Administration Ends Federal Ev Tax Credit",https://techcrunch.com/2025/07/03/slate-auto-drops-under-20000-pricing-after-trump-administration-ends-federal-ev-tax-credit/
"Who Is Soham Parekh, The Serial Moonlighter Silicon Valley Startups Can’T Stop Hiring?",https://techcrunch.com/2025/07/03/who-is-soham-parekh-the-serial-moonlighter-silicon-valley-startups-cant-stop-hiring/
Google Rolls Out Its New Veo 3 Video-Generation Model Globally,https://techcrunch.com/2025/07/03/google-rolls-out-its-new-veo-3-video-generation-model-globally/
Openai Condemns Robinhood’S ‘Openai Tokens’,https://techcrunch.com/2025/07/02/openai-condemns-robinhoods-openai-tokens/
Lovable On Track To Raise $150M At $2B Valuation,https://techcrunch.com/2025/07/02/lovable-on-track-to-raise-150m-at-2b-valuation/
